id,name,type,state,total_shootings
2794,Stonewood Police Department,local_police,WV,1
1866,Stow Police Department,local_police,OH,1
63,St. Paul Police Department,local_police,MN,15
481,St. Petersburg Police Department,local_police,FL,6
3636,St. Peters Police Department,local_police,MO,2
24982,Strasburg Police Department,local_police,VA,1
3029,Stratford Police Department,local_police,CT,1
2079,Stratford Police Department,local_police,TX,1
1682,Strongsville Police Department,local_police,OH,1
968,Stroud Area Regional Police Department,local_police,PA,1
2422,Struthers Police Department,local_police,OH,2
797,St. Tammany Parish Sheriff's Office,sheriff,LA,7
25017,Sturgis Department of Public Safety,local_police,MI,1
2074,Stutsman County Sheriff's Department,sheriff,ND,1
25021,Stuttgart Police Department,local_police,AR,1
1714,Suffield Police Department,local_police,CT,1
421,Suffolk County Police Department,local_police,NY,8
2661,Suffolk County Sheriff's Office,sheriff,NY,1
1002,Suffolk Police Department,local_police,VA,1
2509,Sugarcreek Police Department,local_police,OH,1
3451,Sugar Land Police Department,local_police,TX,1
25055,Sullivan County Sheriff's Office,sheriff,IN,1
2408,Sullivan County Sheriff's Office,sheriff,TN,6
25065,Sullivan Police Department,local_police,MO,1
25069,Sulphur Police Department,local_police,LA,2
25074,Sulphur Springs Police Department,local_police,TX,1
632,Summers County Sheriff's Department,sheriff,WV,1
3626,Summersville Police Department,local_police,WV,1
25087,Summerville Police Department,local_police,GA,1
25088,Summerville Police Department,local_police,SC,1
25091,Summit County Sheriff's Office,sheriff,CO,1
611,Summit County Sheriff's Office,sheriff,OH,1
25092,Summit County Sheriff's Office,sheriff,UT,1
1213,Sumner County Sheriff's Office,sheriff,TN,1
25111,Sumner Police Department,local_police,WA,1
3118,Sumrall Police Department,local_police,MS,1
2268,Sumter County Sheriff's Department,sheriff,FL,3
25115,Sumter County Sheriff's Office,sheriff,GA,1
2736,Sumter County Sheriff's Office,sheriff,SC,3
1559,Sumter Police Department,local_police,SC,1
25132,Sunland Park Police Department,local_police,NM,1
188,Sunnyvale Police Department,local_police,CA,5
1853,Sunrise Police Department,local_police,FL,2
1540,Surprise Police Department,local_police,AZ,4
1827,Surry County Sheriff's Department,sheriff,NC,2
25217,Swayzee Police,local_police,IN,1
1042,Sweetwater Police Department,local_police,TX,2
1430,Sylvania Township Police Department,local_police,OH,3
2920,Sylvester Police Department,local_police,GA,1
1122,Syracuse Police Department,local_police,NY,7
492,Syracuse Police Department,local_police,UT,1
475,Tacoma Police Department,local_police,WA,14
609,Tahlequah Police Department,local_police,OK,3
780,Talladega County Sheriff's Office,sheriff,AL,2
311,Tallahassee Police Department,local_police,FL,7
338,Tallapoosa County Sheriff's Department,sheriff,AL,1
3245,Tama County Sheriff's Office,sheriff,IA,1
295,Tampa Police Department,local_police,FL,11
1454,Taney County Sheriff's Office,sheriff,MO,1
2180,Tangipahoa Parish Sheriff's Department,sheriff,LA,5
981,Taos County Sheriff's Department,sheriff,NM,2
25315,Taos Police Department,local_police,NM,1
